> Ready on http://192.168.1.90:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
> Access locally via http://localhost:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
> Access on network via http://192.168.1.90:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
2025-01-11T13:05:53.168Z - GET /
2025-01-11T13:05:53.210Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:05:53.211Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:05:53.212Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:05:53.212Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:05:53.213Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:05:53.213Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:05:53.217Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:05:53.219Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:05:53.219Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:05:53.230Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:05:53.267Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:05:53.269Z - GET /favicon.ico
2025-01-11T13:05:53.270Z - GET /customers?_rsc=1wtp7
2025-01-11T13:05:53.272Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:05:53.273Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:05:53.274Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:05:53.280Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:05:53.283Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:05:53.285Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:06:14.772Z - GET /
2025-01-11T13:06:14.814Z - GET /_next/static/css/3d14343911c9c70f.css
