> Ready on http://192.168.1.90:\\.\pipe\beebeb5a-f83f-4a93-872b-4c73a9cdd037
> Access locally via http://localhost:\\.\pipe\beebeb5a-f83f-4a93-872b-4c73a9cdd037
> Access on network via http://192.168.1.90:\\.\pipe\beebeb5a-f83f-4a93-872b-4c73a9cdd037
2025-01-11T13:11:57.184Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:11:57.186Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:11:57.187Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:11:57.198Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:11:57.238Z - GET /customers?_rsc=1wtp7
2025-01-11T13:11:57.240Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:11:57.242Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:11:57.243Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:11:57.244Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:11:57.246Z - GET /favicon.ico
2025-01-11T13:11:57.250Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:11:57.254Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:11:57.259Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:12:53.118Z - GET /
2025-01-11T13:12:53.159Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:12:53.160Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:12:53.202Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:12:53.204Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:12:53.206Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:12:53.207Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:12:53.207Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:12:53.208Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:12:53.212Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:12:53.234Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:12:53.315Z - GET /customers?_rsc=1wtp7
2025-01-11T13:12:53.317Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:12:53.320Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:12:53.323Z - GET /favicon.ico
2025-01-11T13:12:53.325Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:12:53.327Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:12:53.349Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:12:53.351Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:12:53.353Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:12:53.355Z - GET /_next/static/chunks/736-a58d37d1b8d6336e.js
2025-01-11T13:12:53.356Z - GET /_next/static/chunks/app/customers/page-bc7f0b2a4a66e32f.js
2025-01-11T13:12:58.931Z - GET /settings?_rsc=1sgnq
2025-01-11T13:12:58.938Z - GET /_next/static/chunks/app/settings/page-2525888b7c19c94f.js
2025-01-11T13:13:42.817Z - GET /settings
2025-01-11T13:13:42.960Z - GET /?_rsc=1ivqj
2025-01-11T13:13:42.972Z - GET /customers?_rsc=1ivqj
2025-01-11T13:13:42.974Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:13:42.975Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:13:42.976Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:13:43.848Z - GET /settings
2025-01-11T13:13:43.979Z - GET /?_rsc=1ivqj
2025-01-11T13:13:43.980Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:13:43.981Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:13:43.982Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:13:43.984Z - GET /customers?_rsc=1ivqj
2025-01-11T13:13:44.008Z - GET /settings
2025-01-11T13:13:44.095Z - GET /?_rsc=1ivqj
2025-01-11T13:13:44.098Z - GET /customers?_rsc=1ivqj
2025-01-11T13:13:44.099Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:13:44.100Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:13:44.101Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:13:44.353Z - GET /settings
2025-01-11T13:13:44.440Z - GET /?_rsc=1ivqj
2025-01-11T13:13:44.442Z - GET /customers?_rsc=1ivqj
2025-01-11T13:13:44.443Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:13:44.444Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:13:44.445Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:13:44.531Z - GET /settings
2025-01-11T13:13:44.619Z - GET /?_rsc=1ivqj
2025-01-11T13:13:44.620Z - GET /customers?_rsc=1ivqj
2025-01-11T13:13:44.621Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:13:44.622Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:13:44.624Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:13:44.887Z - GET /settings
2025-01-11T13:13:44.991Z - GET /?_rsc=1ivqj
2025-01-11T13:13:44.993Z - GET /customers?_rsc=1ivqj
2025-01-11T13:13:44.994Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:13:44.997Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:13:44.998Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:13:45.087Z - GET /settings
2025-01-11T13:13:45.178Z - GET /?_rsc=1ivqj
2025-01-11T13:13:45.181Z - GET /customers?_rsc=1ivqj
2025-01-11T13:13:45.182Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:13:45.183Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:13:45.185Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:13:45.439Z - GET /settings
2025-01-11T13:13:45.542Z - GET /?_rsc=1ivqj
2025-01-11T13:13:45.543Z - GET /customers?_rsc=1ivqj
2025-01-11T13:13:45.544Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:13:45.545Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:13:45.546Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:13:45.590Z - GET /settings
2025-01-11T13:13:45.675Z - GET /?_rsc=1ivqj
2025-01-11T13:13:45.678Z - GET /customers?_rsc=1ivqj
2025-01-11T13:13:45.679Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:13:45.681Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:13:45.682Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:13:45.928Z - GET /settings
2025-01-11T13:13:46.010Z - GET /?_rsc=1ivqj
2025-01-11T13:13:46.013Z - GET /customers?_rsc=1ivqj
2025-01-11T13:13:46.015Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:13:46.016Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:13:46.017Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:13:46.121Z - GET /settings
2025-01-11T13:13:46.225Z - GET /?_rsc=1ivqj
2025-01-11T13:13:46.228Z - GET /customers?_rsc=1ivqj
2025-01-11T13:13:46.230Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:13:46.231Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:13:46.232Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:13:47.579Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:13:47.580Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:13:47.582Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:13:47.584Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:13:50.643Z - GET /customers/new
2025-01-11T13:13:53.637Z - GET /accounting/invoice
2025-01-11T13:14:00.304Z - GET /api/customers
2025-01-11T13:14:05.409Z - GET /api/customers
2025-01-11T13:14:08.244Z - GET /api/customers
2025-01-11T13:14:09.433Z - GET /api/customers
2025-01-11T13:14:09.600Z - GET /api/customers
2025-01-11T13:15:07.776Z - POST /api/customers
2025-01-11T13:15:10.083Z - GET /api/customers
2025-01-11T13:15:12.831Z - GET /api/customers
2025-01-11T13:15:18.452Z - GET /api/customers
2025-01-11T13:15:31.823Z - GET /settings?_rsc=l0mhi
2025-01-11T13:15:42.249Z - GET /settings
2025-01-11T13:15:42.344Z - GET /?_rsc=1ivqj
2025-01-11T13:15:42.350Z - GET /customers?_rsc=1ivqj
2025-01-11T13:15:42.356Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:15:42.358Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:15:42.359Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:15:42.603Z - GET /settings
2025-01-11T13:15:42.727Z - GET /?_rsc=1ivqj
2025-01-11T13:15:42.729Z - GET /customers?_rsc=1ivqj
2025-01-11T13:15:42.731Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:15:42.733Z - GET /purchases?_rsc=1ivqj
